Project,Round,Site,Seine#,Common,Length_mm,Count,checkID,Notes,Weight_damp_g
CMI,1,Halibut Cove,3,Dolly Varden,120,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,130,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,127,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,134,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,151,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,124,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,150,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,121,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,120,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,145,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,110,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,130,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,130,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,120,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,153,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,136,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,124,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,136,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,131,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,118,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,140,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,135,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,155,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,155,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,130,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,159,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,133,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,121,1,,,
CMI,1,Halibut Cove,3,Staghorn Sculpin,250,1,,,
CMI,1,Halibut Cove,3,Staghorn Sculpin,245,1,,,
CMI,1,Halibut Cove,3,Staghorn Sculpin,92,1,,,
CMI,1,Halibut Cove,3,Staghorn Sculpin,47,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,85,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,95,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,68,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,78,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,71,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,100,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,80,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,80,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,80,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,83,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,88,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,83,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,68,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,70,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,90,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,98,1,,,
CMI,1,Halibut Cove,3,Chum Salmon,77,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,60,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,70,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,160,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,65,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,68,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,63,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,65,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,63,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,65,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,63,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,70,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,63,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,142,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,160,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,68,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,65,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,158,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,55,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,61,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,64,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,60,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,68,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,63,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,74,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,170,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,67,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,265,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,60,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,164,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,164,1,,,
CMI,1,Halibut Cove,3,Snake Prickleback,,23,,,
CMI,1,Halibut Cove,3,Saffron Cod (J),134,1,,,
CMI,1,Halibut Cove,3,Saffron Cod (J),165,1,,,
CMI,1,Halibut Cove,3,Saffron Cod (J),169,1,,,
CMI,1,Halibut Cove,3,Pacific Tomcod (J),161,1,,,
CMI,1,Halibut Cove,3,Pacific Tomcod (J),180,1,,,
CMI,1,Halibut Cove,3,Crescent Gunnel,142,1,,,
CMI,1,Halibut Cove,3,Great Sculpin,88,1,,,
CMI,1,Halibut Cove,3,Great Sculpin,110,1,,,
CMI,1,Halibut Cove,3,Unidentified Sculpin (J),,17,,,
CMI,1,Halibut Cove,3,Slender Eelblenny,60,1,,,
CMI,1,Halibut Cove,3,Slender Eelblenny,73,1,,,
CMI,1,Barabara,1,Dolly Varden,290,1,,,
CMI,1,Barabara,1,Dolly Varden,270,1,,,
CMI,1,Barabara,1,Dolly Varden,291,1,,,
CMI,1,Barabara,1,Dolly Varden,285,1,,,
CMI,1,Barabara,1,Dolly Varden,265,1,,,
CMI,1,Barabara,1,Dolly Varden,330,1,,,
CMI,1,Barabara,1,Dolly Varden,265,1,,,
CMI,1,Barabara,1,Dolly Varden,287,1,,,
CMI,1,Barabara,1,Dolly Varden,268,1,,,
CMI,1,Barabara,1,Dolly Varden,272,1,,,
CMI,1,Barabara,1,Dolly Varden,264,1,,,
CMI,1,Barabara,1,Dolly Varden,244,1,,,
CMI,1,Barabara,1,Dolly Varden,145,1,,,
CMI,1,Barabara,1,Staghorn Sculpin,318,1,,,
CMI,1,Barabara,1,Rock Sole,215,1,,,
CMI,1,Barabara,1,Rock Sole,146,1,,,
CMI,1,Barabara,1,Rock Sole,202,1,,,
CMI,1,Barabara,1,Rock Sole,124,1,,,
CMI,1,Barabara,1,Rock Sole,97,1,,,
CMI,1,Barabara,1,Rock Sole,106,1,,,
CMI,1,Barabara,1,Rock Sole,120,1,,,
CMI,1,Barabara,1,Rock Sole,108,1,,,
CMI,1,Barabara,1,Rock Sole,129,1,,,
CMI,1,Barabara,1,Rock Sole,95,1,,,
CMI,1,Barabara,1,Rock Sole,121,1,,,
CMI,1,Barabara,1,Rock Sole,123,1,,,
CMI,1,Barabara,1,Rock Sole,119,1,,,
CMI,1,Barabara,1,Rock Sole,120,1,,,
CMI,1,Barabara,1,Rock Sole,95,1,,,
CMI,1,Barabara,1,Rock Sole,71,1,,,
CMI,1,Barabara,1,Rock Sole,120,1,,,
CMI,1,Barabara,1,Rock Sole,68,1,,,
CMI,1,Barabara,1,Rock Sole,38,1,,,
CMI,1,Barabara,1,Rock Sole,158,1,,,
CMI,1,Barabara,1,Rock Sole,48,1,,,
CMI,1,Barabara,1,Rock Sole,36,1,,,
CMI,1,Barabara,1,Rock Sole,110,1,,,
CMI,1,Barabara,1,Rock Sole,104,1,,,
CMI,1,Barabara,1,Rock Sole,46,1,,,
CMI,1,Barabara,1,Rock Sole,35,1,,,
CMI,1,Barabara,1,Rock Sole,38,1,,,
CMI,1,Barabara,1,Rock Sole,32,1,,,
CMI,1,Barabara,1,Rock Sole,35,1,,,
CMI,1,Barabara,1,Rock Sole,44,1,,,
CMI,1,Barabara,1,Rock Sole,,5,,,
CMI,1,Barabara,1,Pink Salmon,58,1,,,
CMI,1,Barabara,1,English Sole,45,1,,,
CMI,1,Barabara,1,English Sole,51,1,,,
CMI,1,Barabara,1,English Sole,65,1,,,
CMI,1,Barabara,1,English Sole,64,1,,,
CMI,1,Barabara,1,English Sole,47,1,,,
CMI,1,Barabara,1,English Sole,43,1,,,
CMI,1,Barabara,1,Pacific Sand Lance,56,1,,,
CMI,1,Barabara,1,Pacific Sand Lance,56,1,,,
CMI,1,Barabara,1,Pacific Sand Lance,56,1,,,
CMI,1,Barabara,1,Unidentified Sculpin (J),,12,,,
CMI,1,Barabara,1,Unidentified Flatfish (J),,46,,,
CMI,1,Barabara,2,Dolly Varden,273,1,,,
CMI,1,Barabara,2,Dolly Varden,288,1,,,
CMI,1,Barabara,2,Dolly Varden,282,1,,,
CMI,1,Barabara,2,Dolly Varden,250,1,,,
CMI,1,Barabara,2,Dolly Varden (J),,1,,,
CMI,1,Barabara,2,Rock Sole,213,1,,,
CMI,1,Barabara,2,Rock Sole,140,1,,,
CMI,1,Barabara,2,Rock Sole,218,1,,,
CMI,1,Barabara,2,Rock Sole,135,1,,,
CMI,1,Barabara,2,Rock Sole,119,1,,,
CMI,1,Barabara,2,Rock Sole,75,1,,,
CMI,1,Barabara,2,Rock Sole,185,1,,,
CMI,1,Barabara,2,Rock Sole,126,1,,,
CMI,1,Barabara,2,Rock Sole,110,1,,,
CMI,1,Barabara,2,Rock Sole,156,1,,,
CMI,1,Barabara,2,Rock Sole,120,1,,,
CMI,1,Barabara,2,Rock Sole,109,1,,,
CMI,1,Barabara,2,Rock Sole,137,1,,,
CMI,1,Barabara,2,Rock Sole,60,1,,,
CMI,1,Barabara,2,Rock Sole,198,1,,,
CMI,1,Barabara,2,Rock Sole,102,1,,,
CMI,1,Barabara,2,Rock Sole,104,1,,,
CMI,1,Barabara,2,Rock Sole,37,1,,,
CMI,1,Barabara,2,Rock Sole,86,1,,,
CMI,1,Barabara,2,Rock Sole,113,1,,,
CMI,1,Barabara,2,Rock Sole,38,1,,,
CMI,1,Barabara,2,Rock Sole,78,1,,,
CMI,1,Barabara,2,Rock Sole,36,1,,,
CMI,1,Barabara,2,Rock Sole,103,1,,,
CMI,1,Barabara,2,Rock Sole,110,1,,,
CMI,1,Barabara,2,Rock Sole,34,1,,,
CMI,1,Barabara,2,Rock Sole,67,1,,,
CMI,1,Barabara,2,Rock Sole,53,1,,,
CMI,1,Barabara,2,Rock Sole,50,1,,,
CMI,1,Barabara,2,Rock Sole,49,1,,,
CMI,1,Barabara,2,Starry Flounder,205,1,,,
CMI,1,Barabara,2,Pink Salmon,77,1,,,
CMI,1,Barabara,2,Pink Salmon,75,1,,,
CMI,1,Barabara,2,Pink Salmon,70,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,70,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,43,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,56,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,47,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,56,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,48,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,45,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,46,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,50,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,51,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,51,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,45,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,42,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,53,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,47,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,49,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,42,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,47,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,47,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,50,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,45,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,49,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,47,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,48,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,55,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,47,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,53,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,45,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,55,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,57,1,,,
CMI,1,Barabara,2,Pacific Sand Lance,,4,,,
CMI,1,Barabara,2,Unidentified Flatfish (J),,9,,,
CMI,1,Barabara,2,Unidentified Sculpin (J),,1,,,
CMI,1,Barabara,2,Larval Fish,,2,,,
CMI,1,Barabara,3,Dolly Varden,385,1,,,
CMI,1,Barabara,3,Dolly Varden,300,1,,,
CMI,1,Barabara,3,Dolly Varden,262,1,,,
CMI,1,Barabara,3,Dolly Varden,208,1,,,
CMI,1,Barabara,3,Dolly Varden,280,1,,,
CMI,1,Barabara,3,Dolly Varden,282,1,,,
CMI,1,Barabara,3,Dolly Varden,254,1,,,
CMI,1,Barabara,3,Dolly Varden,225,1,,,
CMI,1,Barabara,3,Dolly Varden,252,1,,,
CMI,1,Barabara,3,Dolly Varden,159,1,,,
CMI,1,Barabara,3,Staghorn Sculpin,350,1,,Eating a Saffron Cod (J) 264 mm. Pictures,
CMI,1,Barabara,3,Staghorn Sculpin,200,1,,,
CMI,1,Barabara,3,Starry Flounder,254,1,,,
CMI,1,Barabara,3,Starry Flounder,228,1,,,
CMI,1,Barabara,3,English Sole,44,1,,,
CMI,1,Barabara,3,English Sole,61,1,,,
CMI,1,Barabara,3,English Sole,38,1,,,
CMI,1,Barabara,3,English Sole,105,1,,,
CMI,1,Barabara,3,English Sole,91,1,,,
CMI,1,Barabara,3,English Sole,32,1,,,
CMI,1,Barabara,3,English Sole,55,1,,,
CMI,1,Barabara,3,English Sole,59,1,,,
CMI,1,Barabara,3,English Sole,49,1,,,
CMI,1,Barabara,3,English Sole,77,1,,,
CMI,1,Barabara,3,English Sole,46,1,,,
CMI,1,Barabara,3,English Sole,39,1,,,
CMI,1,Barabara,3,English Sole,47,1,,,
CMI,1,Barabara,3,English Sole,50,1,,,
CMI,1,Barabara,3,English Sole,60,1,,,
CMI,1,Barabara,3,English Sole,45,1,,,
CMI,1,Barabara,3,English Sole,41,1,,,
CMI,1,Barabara,3,English Sole,47,1,,,
CMI,1,Barabara,3,English Sole,43,1,,,
CMI,1,Barabara,3,Rock Sole,132,1,,,
CMI,1,Barabara,3,Rock Sole,200,1,,,
CMI,1,Barabara,3,Rock Sole,145,1,,,
CMI,1,Barabara,3,Rock Sole,81,1,,,
CMI,1,Barabara,3,Rock Sole,163,1,,,
CMI,1,Barabara,3,Rock Sole,70,1,,,
CMI,1,Barabara,3,Rock Sole,146,1,,,
CMI,1,Barabara,3,Rock Sole,140,1,,,
CMI,1,Barabara,3,Rock Sole,67,1,,,
CMI,1,Barabara,3,Rock Sole,37,1,,,
CMI,1,Barabara,3,Rock Sole,108,1,,,
CMI,1,Barabara,3,Rock Sole,142,1,,,
CMI,1,Barabara,3,Rock Sole,96,1,,,
CMI,1,Barabara,3,Rock Sole,47,1,,,
CMI,1,Barabara,3,Rock Sole,38,1,,,
CMI,1,Barabara,3,Rock Sole,46,1,,,
CMI,1,Barabara,3,Rock Sole,39,1,,,
CMI,1,Barabara,3,Rock Sole,31,1,,,
CMI,1,Barabara,3,Rock Sole,48,1,,,
CMI,1,Barabara,3,Rock Sole,103,1,,,
CMI,1,Barabara,3,Rock Sole,35,1,,,
CMI,1,Barabara,3,Rock Sole,47,1,,,
CMI,1,Barabara,3,Rock Sole,49,1,,,
CMI,1,Barabara,3,Sand Sole,77,1,,,
CMI,1,Barabara,3,Sand Sole,96,1,,,
CMI,1,Barabara,3,Sand Sole,70,1,,,
CMI,1,Barabara,3,Sand Sole,94,1,,,
CMI,1,Barabara,3,Sand Sole,85,1,,,
CMI,1,Barabara,3,Sand Sole,44,1,,,
CMI,1,Barabara,3,Sand Sole,50,1,,,
CMI,1,Barabara,3,Sand Sole,69,1,,,
CMI,1,Barabara,3,Sand Sole,96,1,,,
CMI,1,Barabara,3,Sand Sole,42,1,,,
CMI,1,Barabara,3,Sand Sole,46,1,,,
CMI,1,Barabara,3,Sand Sole,81,1,,,
CMI,1,Barabara,3,Sand Sole,41,1,,,
CMI,1,Barabara,3,Sand Sole,35,1,,,
CMI,1,Barabara,3,Sand Sole,48,1,,,
CMI,1,Barabara,3,Sand Sole,35,1,,,
CMI,1,Barabara,3,Sand Sole,34,1,,,
CMI,1,Barabara,3,Sand Sole,30,1,,,
CMI,1,Barabara,3,Sand Sole,46,1,,,
CMI,1,Barabara,3,Sand Sole,44,1,,,
CMI,1,Barabara,3,Sand Sole,41,1,,,
CMI,1,Barabara,3,Unidentified Flatfish (J),,16,,,
CMI,1,Glacier Spit,1,Dolly Varden,282,1,,,
CMI,1,Glacier Spit,1,Dolly Varden,350,1,,,
CMI,1,Glacier Spit,1,Dolly Varden,128,1,,,
CMI,1,Glacier Spit,1,Dolly Varden,149,1,,,
CMI,1,Glacier Spit,1,Three Spine Stickleback,87,1,,,
CMI,1,Glacier Spit,1,Crescent Gunnel,118,1,,,
CMI,1,Glacier Spit,1,Pacific Cod (J),41,1,,,
CMI,1,Glacier Spit,1,Pacific Cod (J),32,1,,,
CMI,1,Glacier Spit,1,Walleye Pollock (J),33,1,,,
CMI,1,Glacier Spit,1,White Spotted Greenling,65,1,,,
CMI,1,Glacier Spit,2,Dolly Varden,350,1,,,
CMI,1,Glacier Spit,2,Dolly Varden,335,1,,,
CMI,1,Glacier Spit,2,Dolly Varden,140,1,,,
CMI,1,Glacier Spit,2,Dolly Varden,366,1,,,
CMI,1,Glacier Spit,2,Dolly Varden,325,1,,,
CMI,1,Glacier Spit,2,Dolly Varden,124,1,,,
CMI,1,Glacier Spit,2,Dolly Varden,143,1,,,
CMI,1,Glacier Spit,2,Starry Flounder,318,1,,,
CMI,1,Glacier Spit,2,Buffalo Sculpin,151,1,,,
CMI,1,Glacier Spit,2,Buffalo Sculpin,280,1,,,
CMI,1,Glacier Spit,2,Masked Greenling,70,1,,,
CMI,1,Glacier Spit,2,Surf Smelt,192,1,,,
CMI,1,Glacier Spit,3,Starry Flounder,490,1,,,
CMI,1,Glacier Spit,3,Starry Flounder,225,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,470,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,370,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,430,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,460,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,370,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,360,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,440,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,390,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,430,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,304,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,295,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,480,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,360,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,355,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,340,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,354,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,393,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,352,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,420,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,315,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,502,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,460,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,360,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,342,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,400,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,415,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,365,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,333,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,376,1,,,
CMI,1,Glacier Spit,3,Dolly Varden,500,1,,,
CMI,1,Glacier Spit,3,Dolly Varden (A),,1,,,
CMI,1,Glacier Spit,3,Staghorn Sculpin,265,1,,,
CMI,1,Glacier Spit,3,Snake Prickleback,65,1,,,
CMI,1,Tutka,1,Dolly Varden,314,1,,,
CMI,1,Tutka,1,Dolly Varden,165,1,,,
CMI,1,Tutka,1,Rock Sole,176,1,,,
CMI,1,Tutka,1,Rock Sole,252,1,,,
CMI,1,Tutka,1,Rock Sole,195,1,,,
CMI,1,Tutka,1,Rock Sole,147,1,,,
CMI,1,Tutka,1,Rock Sole,242,1,,,
CMI,1,Tutka,1,Rock Sole,130,1,,,
CMI,1,Tutka,1,Rock Sole,180,1,,,
CMI,1,Tutka,1,Rock Sole,149,1,,,
CMI,1,Tutka,1,Rock Sole,152,1,,,
CMI,1,Tutka,1,Rock Sole,147,1,,,
CMI,1,Tutka,1,Rock Sole,167,1,,,
CMI,1,Tutka,1,Rock Sole,182,1,,,
CMI,1,Tutka,1,Rock Sole,140,1,,,
CMI,1,Tutka,1,Rock Sole,137,1,,,
CMI,1,Tutka,1,Rock Sole,162,1,,,
CMI,1,Tutka,1,Rock Sole,163,1,,,
CMI,1,Tutka,1,Rock Sole,143,1,,,
CMI,1,Tutka,1,Rock Sole,147,1,,,
CMI,1,Tutka,1,Rock Sole,176,1,,,
CMI,1,Tutka,1,Rock Sole,182,1,,,
CMI,1,Tutka,1,Rock Sole,195,1,,,
CMI,1,Tutka,1,Rock Sole,87,1,,,
CMI,1,Tutka,1,Saffron Cod (J),205,1,,,
