SeineID,Site,Replicate,Date,Time,Latitude,Longitude,Tide1,Tide2,Reach_m,Depth_m,Method,Habitat,Notes
2105AP1,Anchor Point,1,5/25/21,8:25,59.79399,-151.86133,Ebb,Low,25,0.9,beach seine,Sand/Gravel,Cobble + sand
2105AP2,Anchor Point,2,5/25/21,9:11,59.79384,-151.86244,Slack,Low,30,1.2,beach seine,Sand/Gravel,Sand
2105AP3,Anchor Point,3,5/25/21,9:45,59.79359,-151.86261,Slack,Low,30,1.5,beach seine,Sand/Gravel,Sand + big rocks. Lots of amphipods
2105NR1,Ninilchik,1,5/28/21,10:00,60.049,-151.677,Ebb,Low,50,0.5,beach seine,Sand/Gravel,Sand/silt/mud
2105NR2,Ninilchik,2,5/28/21,11:06,60.05084,-151.68192,Slack,Low,25,1,beach seine,Sand/Gravel,Sand bar
2105NR3,Ninilchik,3,5/28/21,12:30,60.05058,-151.68237,Slack,Low,30,1.3,beach seine,Sand/Gravel,
2106NR1,Ninilchik,1,6/9/21,8:40,60.05198,-151.67334,Ebb,Low,25,0.6,beach seine,Sand/Gravel,Detached kelp
2106NR2,Ninilchik,2,6/9/21,9:30,60.05308,-151.67334,Ebb,Low,35,0.6,beach seine,Sand/Gravel,Detached kelp
2106NR3,Ninilchik,3,6/9/21,11:05,60.05411,-151.67128,Flood,Low,35,0.8,beach seine,Sand/Gravel,Heavy wrack. Likely lost some fish under the net
2106AP1,Anchor Point,1,6/10/21,8:45,59.77265,-151.8727,Ebb,Low,30,1.3,beach seine,Sand/Gravel,Sand and large cobble
2106AP2,Anchor Point,2,6/10/21,9:35,59.76883,-151.87213,Ebb,Low,45,1.3,beach seine,Sand/Gravel,Low gradient sand
2106AP3,Anchor Point,3,6/10/21,10:15,59.76719,-151.8712,Slack,Low,30,0.85,beach seine,Sand/Gravel,Shallow gradient
2106PB1,Plumb Bluff,1,6/11/21,8:45,59.9119,-151.7623,Ebb,Med,25,1.6,beach seine,Sand/Gravel,
2106PB2,Plumb Bluff,2,6/11/21,9:35,59.91307,-151.76132,Ebb,Low,30,0.9,beach seine,Sand/Gravel,Sandy with varied large rocks
2106PB3,Plumb Bluff,3,6/11/21,10:15,59.91448,-151.76059,Ebb,Low,45,0.85,beach seine,Sand/Gravel,Multiple big shrimp
2107PB1,Plumb Bluff,1,7/13/21,10:45,59.91447,-151.76028,Ebb,Low,30,1.1,beach seine,Sand/Gravel,Amphipods
2107PB2,Plumb Bluff,2,7/13/21,11:32,59.91447,-151.76028,Ebb,Low,60,1,beach seine,Sand/Gravel,
2107PB3,Plumb Bluff,3,7/13/21,12:28,59.91447,-151.76028,Slack,Low,70,1.2,beach seine,Sand/Gravel,
